,Unnamed: 0,Name,m1,m1_uerr,m1_lerr,m2,m2_uerr,m2_lerr,f,m_T,m_T_err,q,q_err,type,reference,catalog,m1_err_lower,m1_err_upper,m2_err_lower,m2_err_upper,ecc
0,0,J1810+1744,2.13,0.04,0.04,0.065,,,,,,,,BW,\cite{Romani_J1810},You,2.09,2.17,,,
1,1,J1301+0833,1.74,0.2,0.2,0.035,,,,,,,,BW,\cite{Romani_J1301},You,1.54,1.94,,,
2,2,J1311-3430,2.22,0.1,0.1,,,,,,,,,BW,\cite{Kandel2022},Fan,2.12,2.32,,,
3,3,J1959+2048,2.18,0.09,0.09,0.033,,,,,,,,BW,\cite{Kandel_J2215},You,2.09,2.27,,,
4,4,J0952-0607,2.35,0.17,0.17,0.032,,,,,,,,BW,\cite{Romani_J0952},You,2.18,2.52,,,
5,5,J1555-2908,1.67,0.07,0.07,0.06,,,,,,,,BW,\cite{Kennedy_J1555},You,1.6,1.74,,,
6,6,J1653-0158,2.17,0.21,0.21,0.014,,,,,,,,BW,\cite{Nieder_J1653},You,1.96,2.38,,,
7,7,GW200105,1.91,0.12,0.1,,0.09,0.09,,,,,,GW,\cite{2021arXiv211103606T},Fan,1.81,2.03,,,
8,8,GW200115,1.44,0.85,0.29,,,,,,,,,GW,\cite{2021arXiv211103606T},Fan,1.15,2.29,,,
9,9,GW190425A,2.1,0.5,0.4,1.3,0.3,0.2,,,,,,GW,\cite{GW190425},Fan,1.7,2.6,1.1,1.6,
10,10,GW191219,1.17,0.07,0.06,,,,,,,,,GW,\cite{2021arXiv211103606T},Fan,1.11,1.24,,,
11,11,GW170817A,1.47,0.09,0.07,1.27,0.06,0.07,,,,,,GW,\cite{GW170817},Fan,1.4,1.56,1.2,1.33,
12,12,OAO1657-415,1.74,0.3,0.3,17.5,,,,,,,,HMXB,\cite{10_hmxb},You,1.44,2.04,,,
13,13,LMCX-4,1.57,0.11,0.11,18,,,,,,,,HMXB,\cite{10_hmxb},You,1.46,1.68,,,
14,14,SAXJ1802.7-2017,1.57,0.25,0.25,22,,,,,,,,HMXB,\cite{10_hmxb},You,1.32,1.82,,,
15,15,1A0535+262,1.6,0.6,-0.6,7.5,2.5,-2.5,,,,,,HMXB,FALSE,Zhao,1,2.2,5,10,
16,16,SMCX-1,1.21,0.12,0.12,18,,,,,,,,HMXB,\cite{10_hmxb},You,1.09,1.33,,,
17,17,1E1145.1-6141,1.7,0.3,-0.3,14,4,-4,,,,,,HMXB,FALSE,Zhao,1.4,2,10,18,
18,18,VelaX-1,2.12,0.16,0.16,26,1,-1,,,,,,HMXB,\cite{10_hmxb},"You, Zhao",1.96,2.28,25,27,
19,19,GX301-2,1.9,0.6,-0.6,43,10,-10,,,,,,HMXB,FALSE,Zhao,1.3,2.5,33,53,
20,20,CenX-3,1.57,0.16,0.16,24,1,-1,,,,,,HMXB,\cite{10_hmxb},"You, Zhao",1.41,1.73,23,25,
21,21,XTEJ1855-026,1.41,0.24,0.24,21,,,,,,,,HMXB,\cite{10_hmxb},You,1.17,1.65,,,
22,22,4U1538-522,1.02,0.17,0.17,16,2,-2,,,,,,HMXB,\cite{Iaria_2015AA},"You, Zhao",0.85,1.19,14,18,
23,23,J013236.7+303228,2,0.4,0.4,11,,,,,,,,HMXB,\cite{Bhalerao_J0132367},You,1.6,2.4,,,
24,24,EXO1722-363,1.91,0.45,0.45,18,,,,,,,,HMXB,\cite{10_hmxb},You,1.46,2.36,,,
25,25,4U1700-377,1.96,0.19,0.19,46,5,-5,,,,,,HMXB,\cite{10_hmxb},"You, Zhao",1.77,2.15,41,51,
26,26,J15274848,1,0.1,-0.1,0.6,0.1,-0.1,,,,,,NS-*,FALSE,Zhao,0.9,1.1,0.5,0.7,
27,27,J0030+0451,1.44,0.15,0.15,,,,,,,,,Isolated,"\cite{Miller_J0030,RileyJ0030}",You,1.29,1.59,,,
28,28,J112306.9,1.24,0.03,0.03,0.6,0,0,,,,,,NS-*,\cite{LAMOST1123},"You, Zhao",1.21,1.27,0.6,0.6,
29,29,J06163552,1.3,0.1,-0.1,1.7,0.1,-0.1,,,,,,NS-*,FALSE,Zhao,1.2,1.4,1.6,1.8,
30,30,J125556.57,1.4,0.7,-0.3,1.2,0.1,-0.1,,,,,,NS-*,FALSE,Zhao,1.1,2.1,1.1,1.3,
31,31,MXB1659-298,2.1,0.9,-0.9,0.6,0.2,-0.2,,,,,,LMXB,FALSE,Zhao,1.2,3,0.4,0.8,
32,32,HerX-1,1.5,0.3,-0.3,2.3,0.3,-0.3,,,,,,LMXB,FALSE,Zhao,1.2,1.8,2,2.6,
33,33,CenX-4,1.9,0.4,-0.8,0.3,0.2,-0.1,,,,,,LMXB,FALSE,Zhao,1.1,2.3,0.2,0.5,
34,34,4U1254-69,1.5,0.3,-0.3,0.5,0.1,-0.1,,,,,,LMXB,FALSE,Zhao,1.2,1.8,0.4,0.6,
35,35,XTEJ1814-338,2,0.7,-0.5,0.2,0.1,-0.1,,,,,,LMXB,FALSE,Zhao,1.5,2.7,0.1,0.3,
36,36,KS1731-260,1.61,0.37,0.37,,,,,,,,,LMXB,\cite{Ozel_4U1608},You,1.24,1.98,,,
37,37,CygX-2,1.7,0.2,-0.2,0.6,0.1,-0.1,,,,,,LMXB,FALSE,Zhao,1.5,1.9,0.5,0.7,
38,38,XTEJ2123-058,1.53,0.42,0.42,,,,,,,,,LMXB,\cite{Gelino2002},Fan,1.11,1.95,,,
39,39,X1822-371,1.69,0.13,0.13,0.5,0.1,-0.1,,,,,,LMXB,\cite{Iaria_2015AA},"You, Zhao",1.56,1.82,0.4,0.6,
40,40,4U1608-52,1.57,0.3,0.3,,,,,,,,,LMXB,\cite{Ozel_4U1608},You,1.27,1.87,,,
41,41,SAXJ1748.9-2021,1.81,0.25,0.37,,,,,,,,,LMXB,\cite{Ozel2016},Fan,1.44,2.06,,,
42,42,2S0921-630,1.4,0.1,-0.1,0.3,0,0,,,,,,LMXB,FALSE,Zhao,1.3,1.5,0.3,0.3,
43,43,EXO1745-248,1.65,0.21,0.31,,,,,,,,,LMXB,\cite{Ozel2016},Fan,1.34,1.86,,,
44,44,4U1724-207,1.81,0.25,0.37,,,,,,,,,LMXB,\cite{Ozel2016},Fan,1.44,2.06,,,
45,45,4U1820-30,1.77,0.25,0.28,,,,,,,,,LMXB,\cite{Ozel2016},Fan,1.49,2.02,,,
46,46,4U1702-429,1.9,0.3,0.3,,,,,,,,,LMXB,\cite{Nattila2017},Fan,1.6,2.2,,,
47,47,J1903+0327,1.666,0.012,0.012,1.033,,,,,,,,NS-*,\cite{Thorsett99},You,1.654,1.678,,,
48,48,J0045-7319,1.58,0.34,0.34,10,,,,,,,,NS-*,\cite{NANOGrav11yr},You,1.24,1.92,,,
49,49,J1411+2551,,,,,,,0.12239,2.538,0.022,,,NS-NS,\cite{Martinez2017},Fan,,,,,
50,50,J1946+2052,,,,,,,0.268184,2.5,0.04,,,NS-NS,\cite{Swiggum2015},Fan,,,,,
51,51,J1518+4904,1.41,0.08,0.08,1.31,0.08,0.08,0.115988,2.7183,0.0007,,,NS-NS,\cite{Janssen2008},Fan,,,,,
52,52,J1930-1852,,,,,,,0.346908,2.54,0.03,,,NS-NS,\cite{Swiggum2015},Fan,,,,,
53,53,B2127+11C,1.358,0.01,0.01,1.354,0.01,0.01,,,,,,NS-NS,\cite{Jacoby06},You,1.348,1.368,1.344,1.364,0.681
54,54,B1534+12,1.333,0.0002,0.0002,1.3455,0.0002,0.0002,,,,,,NS-NS,\cite{FonsecaB1534},You,1.3328,1.3332,1.3453,1.3457,0.274
55,55,J1811-1736,,,,,,,0.128121,2.57,0.1,,,NS-NS,\cite{Corongiu2007},Fan,,,,,
56,56,J1913+1102,1.62,0.03,0.03,1.27,0.03,0.03,,,,,,NS-NS,\cite{Ferdman20},You,1.59,1.65,1.24,1.3,0.09
57,57,J1759+5036,,,,,,,0.081768,2.62,0.03,,,NS-NS,\cite{Agazie2021},Fan,,,,,
58,58,J1807-2500B,1.3655,0.0021,0.0021,1.2064,0.0021,0.0021,,,,,,NS-NS,\cite{Lynch12},You,1.3634,1.3676,1.2043,1.2085,0.747
59,59,B1913+16,1.4398,0.0002,0.0002,1.3886,0.0002,0.0002,,,,,,NS-NS,\cite{Weisberg10},You,1.4396,1.44,1.3884,1.3888,0.617
60,60,J1018-1523,,,,,,,0.238062,2.3,0.3,,,NS-NS,\cite{Swiggum2022},Fan,,,,,
61,61,J0453+1559,1.559,0.005,0.005,1.174,0.004,0.004,,,,,,NS-NS,\cite{Martinez15},You,1.554,1.564,1.17,1.178,0.113
62,62,J1325-6253,,,,,,,0.141517,2.57183,0.06,,,NS-NS,\cite{Sengar2022},Fan,,,,,
63,63,J1829+2456,1.306,0.004,0.004,1.299,0.004,0.004,,,,,,NS-NS,\cite{PSRJ1829mass},You,1.302,1.31,1.295,1.303,0.139
64,64,J0514-4002A,1.25,0.06,0.06,1.22,0.06,0.06,,,,,,NS-NS,\cite{Ridolfi19_J0514a},You,1.19,1.31,1.16,1.28,0.888
65,65,J1906+0746,1.322,0.011,0.011,1.291,0.011,0.011,,,,,,NS-NS,\cite{PSR1906},You,1.311,1.333,1.28,1.302,0.085
66,66,J1756-2251,1.341,0.007,0.007,1.23,0.007,0.007,,,,,,NS-NS,\cite{FerdmanPSR1756},You,1.334,1.348,1.223,1.237,0.181
67,67,J0737-3039A,1.3381,0.0007,0.0007,1.2489,0.0007,0.0007,,,,,,NS-NS,\cite{Kramer06Sci},You,1.3374,1.3388,1.2482,1.2496,0.088
68,68,J1757-1854,1.3406,0.0005,0.0005,1.3922,0.0005,0.0005,,,,,,NS-NS,\cite{Cameron22_PSRJ1757},You,1.3401,1.3411,1.3917,1.3927,0.606
69,69,J0509+3801,1.34,0.08,0.08,1.46,0.08,0.08,,,,,,NS-NS,\cite{Lynch0509},You,1.26,1.42,1.38,1.54,0.586
70,70,J1949+3106,1.34,0.17,0.17,0.81,,,,,,,,NS-WD,\cite{ZhuWW19},You,1.17,1.51,,,1.00E-05
71,71,J1918-0642,1.29,0.1,0.1,0.231,,,,,,,,NS-WD,\cite{NANOGrav11yr},You,1.19,1.39,,,1.00E-05
72,72,J1012+5307,1.72,0.16,0.16,0.165,,,,,,,,NS-WD,\cite{Sanchez20_J1012mass},You,1.56,1.88,,,1.00E-06
73,73,J1022+1001,1.44,0.44,0.44,,,,,,,,,NS-WD,\cite{Reardon2021},Fan,1,1.88,,,
